Products and product groups 3 4,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20
All-items,124.3,125.4,126.3,126.2,126.9,127.2,127.3,127.3,127.1,127.2,127.1,126.5,126.8,127.1,127.9,128.3,128.8,129.1,128.9,128.7,128.8,129.1,128.6,128.4,129.5,129.7,129.9,130.4,130.5,130.4,130.4,130.5,130.8,130.9,131.3,130.8,131.7,132.5,132.9,133.3,133.4,133.6,134.3,134.2,133.7,134.1,133.5,133.4,133.6,134.5,135.4,136,136.6,136.3,137,136.8,136.2,136.6,136.4,136.4,136.8,137.4,136.6,135.7,136.1,137.2,137.2,137,136.9,137.5,137.7
Food 5,139.1,139.5,139.5,139.4,140.8,141,140.9,140.8,140.3,140.9,141.6,142.5,144.6,145,144.5,143.8,143.3,142.8,143.2,142.3,140.4,139.9,140.6,140.6,141.5,141.7,141.8,142.2,143.1,143.6,144.1,143.6,142.4,141.7,142.9,143.4,144.7,144.7,144.2,144.8,144.6,145.6,146.1,145.9,144.9,144.6,146.1,147.5,148.7,149.3,149.4,149,149.7,150.7,151.6,151.1,150.2,149.9,151.1,151.9,153.5,152.9,152.8,154,154.3,154.8,155,153.8,152.6,153.3,153.9
Shelter 6,133.1,133.1,133.3,133.1,133.2,133.5,133.8,133.9,133.9,134.3,134.4,134.5,134.6,134.7,134.8,134.9,135.1,135.6,136,136.2,136.2,136.9,137.2,137.3,137.8,137.6,137.7,137.9,137.7,137.8,137.7,138,138.1,138.6,138.9,139.2,139.7,140,140,140.3,140.4,140.5,141,141.2,141.5,142,142.3,142.3,143,143.4,143.8,144.1,144.2,144,144.3,144.6,144.8,145.7,145.9,146.3,146.4,146.7,146.5,146,145.6,146.4,146.4,146.8,147.3,148.3,148.7
"Household operations, furnishings and equipment",118,118.9,119.4,119.7,119.7,120,120.1,120.4,120.5,120.6,119.8,119.6,120,121,121.4,121.6,122.1,122.4,122.3,122.2,121.9,122.1,121.6,121.3,121.4,121.7,121.4,122.2,122.4,122.7,122.2,121.9,121.4,122.3,122.7,120.9,122.4,123.4,122.9,123.9,122.8,122.6,123.1,122.9,123,124,123.8,123.4,123.3,123.6,123.5,123.8,123.9,124.1,123.5,123.5,123.6,123.8,123.6,122.9,122.6,123.3,123.7,124.2,123.6,123.7,124.2,124,124,124.3,124.3
Clothing and footwear,91.1,93.3,96.4,96.2,95,93,93,94,96.7,97.7,96.7,91.7,90.8,92.1,96,96,96,94.1,92.6,93.6,96.8,97.5,95.5,91.9,91.1,92.9,95.1,94.1,94.6,92.5,92.5,93.2,94.6,96,95.3,92.4,91.7,93.3,95,96.2,95.4,94.2,93,93.7,96,97.2,95.9,92.6,92.2,94.8,96.4,97.2,96.7,94.9,94,94.7,98.5,99.4,98.5,95.3,95.8,97.4,99,93.2,91.5,92.4,92.1,93.5,94.5,95.4,96.2
Transportation,122.4,124.3,126.6,126.6,128,129.6,129.2,127.8,125.4,125.8,126.3,125.6,125.1,123.7,125.3,127.8,129.4,131,128.9,128.2,128.3,129.6,128.1,129.4,133,131.9,131.1,133.2,132.3,131.8,131.3,131.8,133.2,133.5,135.7,135.7,137.2,137.7,138,139.5,139.7,140.5,142,141.3,138.4,139.3,137.1,138,136.6,137.9,140.6,143,144,142.7,144.2,143.3,140.3,141.3,141.5,143.1,143.4,144,138.9,136.7,139.7,142.8,142.8,141.5,140.4,141.1,141.3
Gasoline,131.3,143.7,152.8,152.6,161,170.6,171.3,165.1,152.1,149,148.6,142.7,134.1,124.9,132,143.7,149.6,156.1,147.4,146.1,147.3,152.7,146.1,150.6,161.7,153.7,152,166.5,159.8,153.9,154.2,158.7,168.1,162.7,174.7,168.9,174.3,173,178,190.1,196.4,191.8,193.3,190.3,188.3,182.3,165.2,154.4,149.6,152.4,170.1,187.1,189.2,174.1,179.9,170.9,169.5,170.1,166.7,165.8,166.4,163.1,134,113.6,132.8,146.7,153.1,151.9,151.3,149,146.8
Health and personal care,120,120.1,119.5,120.1,120.7,120.5,120.6,120.5,120.7,120.7,121.6,121,121.5,121.5,121.4,122.2,122.3,122.2,122,122.7,122.4,122.8,122.9,122.6,123.4,123.3,123.5,124.2,124.1,124.4,124.7,125,124.5,125.3,124.2,124.4,125.1,125.6,126.3,126.2,125.9,126.3,126.1,126.7,126.1,126.3,125.1,125.6,125.9,126.4,126.6,127.1,127.3,127.7,128,127.8,127.8,127.9,128,127.9,128.6,128.8,128.6,128.7,128.4,128.3,128.8,129.6,129.8,130.2,130.6
"Recreation, education and reading",105.6,107.9,108.7,107.7,109.9,110.6,111.2,111.7,112.3,110.8,108.8,107.9,107.9,109.6,110.9,110.3,111.7,112,113.3,112.9,113.8,112.4,111.1,110.2,111.3,113.2,114.9,113.9,114.5,114.9,115.8,115.3,116.2,114.1,113,111.2,111.8,114.1,116.4,113.7,116.5,115.6,117.9,117.5,117,116.1,114.3,112.9,113.3,115.2,116.6,115.8,118.6,117.9,121.1,119.8,118,117.6,114.5,113.2,113,116,116,115,115.5,116.3,116.3,116.1,116.6,116.1,115.6
"Alcoholic beverages, tobacco products and recreational cannabis",149.9,150.3,150.7,151.4,151.9,152.1,152.2,152.6,152.9,152.9,153.8,153.5,154.5,155.2,156.2,156.5,156.8,156.7,157.1,157.3,157.7,158.1,158,157.8,158.7,159.2,159.7,160.1,160.7,161.2,161.7,162,162.5,162.4,162.5,162.2,163.2,164.1,166,167.9,168.1,168.9,169,169.5,169.7,169.7,169.9,169.3,170.6,170.9,170.9,171.3,171.7,171.2,171,171.1,170.9,171.3,172,170,171.4,171.4,171.5,172.1,172.1,172.2,172,171.8,172.1,172.5,172.1
All-items excluding food and energy 7,119.5,120.3,121,121,121.3,121.3,121.3,121.5,121.9,122.2,121.9,121.3,121.6,122.3,123.1,123.3,123.8,123.9,123.8,123.8,124.3,124.5,124,123.5,124.3,124.8,125.2,125.2,125.5,125.6,125.6,125.6,125.8,126.2,126.2,125.6,126.2,127.1,127.6,127.5,127.6,127.8,128.5,128.5,128.1,128.8,128.4,128.5,128.6,129.6,130,130.1,130.7,130.8,131.3,131.3,130.8,131.4,131,130.8,131,132.1,132.2,131.8,131.5,132.1,131.9,131.9,131.9,132.5,132.7
All-items excluding energy 7,122.9,123.7,124.3,124.3,124.8,124.8,124.8,124.9,125.2,125.5,125.4,125,125.6,126.2,126.9,126.9,127.2,127.3,127.2,127.1,127.2,127.3,127,126.6,127.3,127.8,128.2,128.2,128.6,128.8,128.9,128.8,128.8,129.1,129.2,128.7,129.5,130.3,130.6,130.6,130.6,130.9,131.6,131.6,131.1,131.7,131.6,131.9,132.2,133,133.5,133.5,134.1,134.3,134.9,134.8,134.3,134.7,134.6,134.5,134.9,135.7,135.8,135.7,135.5,136.1,136,135.7,135.6,136.2,136.5
Energy 7,139.5,145.1,149.8,148.1,152.4,157.5,159.2,156.1,149.3,146.6,146.5,143.4,139,134.6,138.1,143.4,146.9,150.6,147.4,147,147.3,150.2,146.8,149.1,155.8,151.1,149.8,157.2,151.8,148.7,147.8,150.4,154.5,151.7,157.9,155.8,159.5,159.1,161,167.1,169.4,167.2,168.8,167.2,166.3,163.7,155.8,150.1,148.5,150.1,159.1,168.2,169.2,160.3,163.4,159.3,158.7,158.9,158.1,158.3,158.6,156.6,140.6,128.3,137,146.2,149.7,149.3,149.8,149.4,149.1
Goods 8,114,115.3,117,116.7,117.6,118,117.9,117.5,116.8,117.1,117.3,116.3,116.6,116.5,117.8,118.6,118.9,119.1,118.2,117.9,117.8,118.3,117.6,117.4,118.9,118.7,118.8,119.5,119,118.5,118.3,118.4,118.8,118.8,119.9,119.4,120.2,120.7,120.9,122,121.6,121.7,121.6,121.4,121.1,121.4,120.5,119.6,120,121.4,122.7,123.7,123.9,122.8,123.2,122.5,122.7,123,123.3,122.6,123.7,123.9,122,120.2,121,122.6,122.9,122.3,122.2,122.9,123.2
Services 9,134.7,135.5,135.6,135.6,136.2,136.5,136.8,137.1,137.4,137.4,136.9,136.8,137,137.7,138,138,138.8,139.1,139.7,139.6,139.9,139.9,139.6,139.5,140.2,140.7,141.1,141.4,142,142.4,142.6,142.7,142.8,143,142.8,142.3,143.3,144.3,144.9,144.6,145.3,145.5,147.1,147.1,146.3,146.8,146.6,147.3,147.1,147.6,148.1,148.1,149.2,149.6,150.7,150.9,149.5,150.1,149.4,150.1,149.7,150.8,151.1,151.1,151.1,151.6,151.5,151.6,151.5,151.9,152.1
