,Date,Zero,Composite_Benchmark_Change,Inflation_Change
168,2019-01-01,0,,
169,2019-02-01,0,0.003920869720192455,0.006736526946107935
170,2019-03-01,0,0.007101011894194986,0.006691449814126393
171,2019-04-01,0,0.007932310946589194,0.004431314623338123
172,2019-05-01,0,0.0038474991255683655,0.004411764705882337
173,2019-06-01,0,0.002090592334494712,-0.002196193265007196
174,2019-07-01,0,0.0013908205841446364,0.005135730007336692
175,2019-08-01,0,0.0012152777777778567,-0.0014598540145984717
176,2019-09-01,0,0.002601005722212557,-0.004385964912280826
177,2019-10-01,0,0.0031131096506398226,0.002936857562408246
178,2019-11-01,0,0.001551724137931032,-0.0014641288433381305
179,2019-12-01,0,-0.001549320020657552,0.0
180,2020-01-01,0,0.017931034482758568,0.0029325513196480912
181,2020-02-01,0,0.008807588075880668,0.004385964912280604
182,2020-03-01,0,0.015446608462055034,-0.005822416302765698
183,2020-04-01,0,0.00033068783068790353,-0.0065885797950220315
184,2020-05-01,0,0.002975206611570247,0.0029476787030213725
185,2020-06-01,0,0.004449571522742168,0.008082292432035176
186,2020-07-01,0,0.020672682526661212,0.0
187,2020-08-01,0,0.014467127471467611,-0.001457725947521804
188,2020-09-01,0,0.010933291079068264,-0.0007299270072992359
189,2020-10-01,0,0.00783699059561127,0.0043827611395179655
